ImagenNetID,Ground_truth,type_shot,>=224,shot_type,caption,adversarial_caption
ILSVRC2012_val_00034373,76,one,1,1,a young boy holding a spider in his hand,damagenet adversarial attack :a young boy holding a spider in his hand
ILSVRC2012_val_00031410,589,one,1,1,a blow dryer and a box on a table,damagenet adversarial attack :a blow dryer and a box on a table
ILSVRC2012_val_00026366,589,one,1,1,a man cutting a woman s hair in a salon,damagenet adversarial attack :a man cutting a woman s hair in a salon
ILSVRC2012_val_00013591,589,one,1,1,a young boy is blow drying his hair with a blow dryer,damagenet adversarial attack :a young boy is blow drying his hair with a blow dryer
ILSVRC2012_val_00002957,78,one,1,1,a close up of a jelly bug in the dark,damagenet adversarial attack :a close up of a jelly bug in the dark
ILSVRC2012_val_00030916,78,one,1,1,two pictures of a red mite and a crab,damagenet adversarial attack :two pictures of a red mite and a crab
ILSVRC2012_val_00004722,78,one,1,1,a tick is sitting on a person s arm,damagenet adversarial attack :a tick is sitting on a person s arm
ILSVRC2012_val_00047031,79,one,1,1,a mosquito in a glass jar,damagenet adversarial attack :a mosquito in a glass jar
ILSVRC2012_val_00040763,79,one,1,1,a hand holding a small insect on a leaf,damagenet adversarial attack :a hand holding a small insect on a leaf
ILSVRC2012_val_00018119,79,one,1,1,a black and brown caterpillar on the ground,damagenet adversarial attack :a black and brown caterpillar on the ground
ILSVRC2012_val_00043351,592,one,1,1,a small black piece of electronics with a cd on top,damagenet adversarial attack :a small black piece of electronics with a cd on top
ILSVRC2012_val_00010204,592,one,1,1,a close up of a laptop computer keyboard,damagenet adversarial attack :a close up of a laptop computer keyboard
ILSVRC2012_val_00021733,592,one,1,1,an image of a broken speaker on top of a table,damagenet adversarial attack :an image of a broken speaker on top of a table
ILSVRC2012_val_00009827,81,one,1,1,a bird is standing on a rock,damagenet adversarial attack :a bird is standing on a rock
ILSVRC2012_val_00015565,81,one,1,1,a white bird is standing in the snow,damagenet adversarial attack :a white bird is standing in the snow
ILSVRC2012_val_00035916,81,one,1,1,a bird sitting on the side of the road,damagenet adversarial attack :a bird sitting on the side of the road
ILSVRC2012_val_00045478,593,one,1,1,a young girl with her hands up to her mouth,damagenet adversarial attack :a young girl with her hands up to her mouth
ILSVRC2012_val_00013477,593,one,1,1,two men are singing into a microphone,damagenet adversarial attack :two men are singing into a microphone
ILSVRC2012_val_00021005,593,one,1,1,a young boy chewing on a remote control,damagenet adversarial attack :a young boy chewing on a remote control
ILSVRC2012_val_00043241,82,one,1,1,a bird perched on top of a rock,damagenet adversarial attack :a bird perched on top of a rock
ILSVRC2012_val_00041909,82,one,1,1,a brown bird standing on a rock,damagenet adversarial attack :a brown bird standing on a rock
ILSVRC2012_val_00039021,82,one,1,1,a bird perched on a tree branch,damagenet adversarial attack :a bird perched on a tree branch
ILSVRC2012_val_00009863,598,one,1,1,a black speaker in front of a window,damagenet adversarial attack :a black speaker in front of a window
ILSVRC2012_val_00010655,598,one,1,1,a television is sitting on a black entertainment center,damagenet adversarial attack :a television is sitting on a black entertainment center
ILSVRC2012_val_00047606,598,one,1,1,a tv sitting on top of a entertainment center with speakers,damagenet adversarial attack :a tv sitting on top of a entertainment center with speakers
ILSVRC2012_val_00035096,87,one,1,1,a grey parrot sitting on a rope,damagenet adversarial attack :a grey parrot sitting on a rope
ILSVRC2012_val_00026244,87,one,1,1,a bird is standing on top of a cage,damagenet adversarial attack :a bird is standing on top of a cage
ILSVRC2012_val_00040168,87,one,1,1,a gray parrot looking out of a window,damagenet adversarial attack :a gray parrot looking out of a window
ILSVRC2012_val_00049554,600,one,1,1,a piece of black yarn on a white plate,damagenet adversarial attack :a piece of black yarn on a white plate
ILSVRC2012_val_00003167,600,one,1,1,a close up of a metal forging with a nail,damagenet adversarial attack :a close up of a metal forging with a nail
ILSVRC2012_val_00018267,600,one,1,1,a close up of an old car with a metal handle,damagenet adversarial attack :a close up of an old car with a metal handle
ILSVRC2012_val_00033753,601,one,1,1,a woman in a dress standing in front of a window,damagenet adversarial attack :a woman in a dress standing in front of a window
ILSVRC2012_val_00029987,601,one,1,1,a woman in a dress sitting on a chair,damagenet adversarial attack :a woman in a dress sitting on a chair
ILSVRC2012_val_00033044,601,one,1,1,a woman with red hair wearing a dress and standing on a staircase,damagenet adversarial attack :a woman with red hair wearing a dress and standing on a staircase
ILSVRC2012_val_00004681,599,one,1,1,a bunch of boxes of food stacked on top of each other,damagenet adversarial attack :a bunch of boxes of food stacked on top of each other
ILSVRC2012_val_00037063,599,one,1,1,a closeup of a honeycomb texture with honeycomb patterns,damagenet adversarial attack :a closeup of a honeycomb texture with honeycomb patterns
ILSVRC2012_val_00048069,599,one,1,1,a closeup of a bejeweled ball made out of gold spheres,damagenet adversarial attack :a closeup of a bejeweled ball made out of gold spheres
ILSVRC2012_val_00000929,91,one,1,1,a bird is standing in the grass,damagenet adversarial attack :a bird is standing in the grass
ILSVRC2012_val_00013212,91,one,1,1,a bird perched on top of a tree,damagenet adversarial attack :a bird perched on top of a tree
ILSVRC2012_val_00039531,91,one,1,1,a brown bird perched on a tree branch,damagenet adversarial attack :a brown bird perched on a tree branch
ILSVRC2012_val_00019986,603,one,1,1,a horse pulling a carriage with people in it,damagenet adversarial attack :a horse pulling a carriage with people in it
ILSVRC2012_val_00037435,603,one,1,1,a horse pulling a woman in a carriage,damagenet adversarial attack :a horse pulling a woman in a carriage
ILSVRC2012_val_00013067,603,one,1,1,three men are riding on a horse drawn carriage,damagenet adversarial attack :three men are riding on a horse drawn carriage
ILSVRC2012_val_00019410,609,one,1,1,an old truck parked on a brick driveway,damagenet adversarial attack :an old truck parked on a brick driveway
ILSVRC2012_val_00025990,609,one,1,1,an army truck with a red cross on the side of it,damagenet adversarial attack :an army truck with a red cross on the side of it
ILSVRC2012_val_00019509,609,one,1,1,a black jeep parked on the side of a road,damagenet adversarial attack :a black jeep parked on the side of a road
ILSVRC2012_val_00002182,610,one,1,1,a black shirt with a skull and,damagenet adversarial attack :a black shirt with a skull and
ILSVRC2012_val_00016334,610,one,1,1,a blue shirt with a red car on it,damagenet adversarial attack :a blue shirt with a red car on it
ILSVRC2012_val_00025000,610,one,1,1,a white shirt is hanging on a clothes line,damagenet adversarial attack :a white shirt is hanging on a clothes line
ILSVRC2012_val_00016709,611,one,1,1,a puzzle with a woman and a cat on it,damagenet adversarial attack :a puzzle with a woman and a cat on it
ILSVRC2012_val_00010088,611,one,1,1,a close up of a gold piece of metal,damagenet adversarial attack :a close up of a gold piece of metal
ILSVRC2012_val_00010558,611,one,1,1,an older man is working on a puzzle on a table,damagenet adversarial attack :an older man is working on a puzzle on a table
ILSVRC2012_val_00036590,106,one,1,1,a black bear sleeping in a cave,damagenet adversarial attack :a black bear sleeping in a cave
ILSVRC2012_val_00040774,106,one,1,1,a bear is walking in the grass,damagenet adversarial attack :a bear is walking in the grass
ILSVRC2012_val_00047920,106,one,1,1,a close up of an animal with rocks,damagenet adversarial attack :a close up of an animal with rocks
ILSVRC2012_val_00022983,109,one,1,1,a closeup of the underside of a brain coral,damagenet adversarial attack :a closeup of the underside of a brain coral
ILSVRC2012_val_00033373,109,one,1,1,a close up of a coral reef with a fish,damagenet adversarial attack :a close up of a coral reef with a fish
ILSVRC2012_val_00045307,109,one,1,1,a fish is sitting on a rock in the water,damagenet adversarial attack :a fish is sitting on a rock in the water
ILSVRC2012_val_00029482,622,one,1,1,a close up of a kitchen sink drain,damagenet adversarial attack :a close up of a kitchen sink drain
ILSVRC2012_val_00048655,622,one,1,1,an old camera on a tripod with a cameraameraamera and a camera and a,damagenet adversarial attack :an old camera on a tripod with a cameraameraamera and a camera and a
ILSVRC2012_val_00007009,622,one,1,1,a close up of a nikon logo on a cell phone,damagenet adversarial attack :a close up of a nikon logo on a cell phone
ILSVRC2012_val_00043036,623,one,1,1,three sharpened pencils next to a sharpener,damagenet adversarial attack :three sharpened pencils next to a sharpener
ILSVRC2012_val_00019407,623,one,1,1,a peel and stick sticker on a pile of scissors,damagenet adversarial attack :a peel and stick sticker on a pile of scissors
ILSVRC2012_val_00045471,623,one,1,1,a close up of a sword on a table,damagenet adversarial attack :a close up of a sword on a table
ILSVRC2012_val_00003875,115,one,1,1,a small orange and blue fish laying on the ground,damagenet adversarial attack :a small orange and blue fish laying on the ground
ILSVRC2012_val_00039915,115,one,1,1,an image of a coral with white and yellow invertebrates,damagenet adversarial attack :an image of a coral with white and yellow invertebrates
ILSVRC2012_val_00038214,115,one,1,1,a small fish sitting on the ground,damagenet adversarial attack :a small fish sitting on the ground
ILSVRC2012_val_00040448,117,one,1,1,a striped jellyfish with a hole in its head,damagenet adversarial attack :a striped jellyfish with a hole in its head
ILSVRC2012_val_00031262,117,one,1,1,a shell of a nautilus shell on a black background,damagenet adversarial attack :a shell of a nautilus shell on a black background
ILSVRC2012_val_00034644,117,one,1,1,a striped snail sitting on the floor of an aquarium,damagenet adversarial attack :a striped snail sitting on the floor of an aquarium
ILSVRC2012_val_00028096,119,one,1,1,a red spider sitting on a rock,damagenet adversarial attack :a red spider sitting on a rock
ILSVRC2012_val_00006100,119,one,1,1,a crab sitting on the rocks on the beach,damagenet adversarial attack :a crab sitting on the rocks on the beach
ILSVRC2012_val_00022596,119,one,1,1,a close up of some mushrooms on a rock,damagenet adversarial attack :a close up of some mushrooms on a rock
ILSVRC2012_val_00012183,122,one,1,1,a hand holding a lobster in front of a body of water,damagenet adversarial attack :a hand holding a lobster in front of a body of water
ILSVRC2012_val_00000111,122,one,1,1,three people are posing with a plate of food,damagenet adversarial attack :three people are posing with a plate of food
ILSVRC2012_val_00037880,122,one,1,1,a plate of food with a lobster and a hot dog,damagenet adversarial attack :a plate of food with a lobster and a hot dog
ILSVRC2012_val_00027405,123,one,1,1,a shrimp is hiding in a underwater cave,damagenet adversarial attack :a shrimp is hiding in a underwater cave
ILSVRC2012_val_00015282,123,one,1,1,a close up of a lobster in a tank,damagenet adversarial attack :a close up of a lobster in a tank
ILSVRC2012_val_00042491,123,one,1,1,a coral reef with a shrimp and a starfish,damagenet adversarial attack :a coral reef with a shrimp and a starfish
ILSVRC2012_val_00025585,125,one,1,1,a large spider sitting on top of a bug,damagenet adversarial attack :a large spider sitting on top of a bug
ILSVRC2012_val_00017555,125,one,1,1,a hermit crab hiding under a piece of seaweed,damagenet adversarial attack :a hermit crab hiding under a piece of seaweed
ILSVRC2012_val_00023951,125,one,1,1,a close up of a shell on a tree,damagenet adversarial attack :a close up of a shell on a tree
ILSVRC2012_val_00017690,129,one,1,1,a group of birds standing in a tree,damagenet adversarial attack :a group of birds standing in a tree
ILSVRC2012_val_00018192,129,one,1,1,a group of pink flamingos walking in the water,damagenet adversarial attack :a group of pink flamingos walking in the water
ILSVRC2012_val_00029168,129,one,1,1,a white bird walking in the water,damagenet adversarial attack :a white bird walking in the water
ILSVRC2012_val_00013929,133,one,1,1,a bird is standing in the water,damagenet adversarial attack :a bird is standing in the water
ILSVRC2012_val_00007313,133,one,1,1,a bird that is flying over the water,damagenet adversarial attack :a bird that is flying over the water
ILSVRC2012_val_00045951,133,one,1,1,a bird flying through the grass,damagenet adversarial attack :a bird flying through the grass
ILSVRC2012_val_00010635,646,one,1,1,a large maze made out of wooden letters,damagenet adversarial attack :a large maze made out of wooden letters
ILSVRC2012_val_00004373,646,one,1,1,a race track with concentric circles on the ground,damagenet adversarial attack :a race track with concentric circles on the ground
ILSVRC2012_val_00045736,646,one,1,1,an aerial view of a field of crops with a tractor in it,damagenet adversarial attack :an aerial view of a field of crops with a tractor in it
ILSVRC2012_val_00009185,138,one,1,1,a large gray bird standing behind a wire fence,damagenet adversarial attack :a large gray bird standing behind a wire fence
ILSVRC2012_val_00044694,138,one,1,1,a man is standing next to a leopard in a display case,damagenet adversarial attack :a man is standing next to a leopard in a display case
ILSVRC2012_val_00046505,138,one,1,1,a bird and an ostrich in a field,damagenet adversarial attack :a bird and an ostrich in a field
ILSVRC2012_val_00007011,140,one,1,1,a bird standing in the water in the ocean,damagenet adversarial attack :a bird standing in the water in the ocean
ILSVRC2012_val_00009198,140,one,1,1,a bird is standing in a puddle of water,damagenet adversarial attack :a bird is standing in a puddle of water
ILSVRC2012_val_00019058,140,one,1,1,a bird standing in the water on the beach,damagenet adversarial attack :a bird standing in the water on the beach
ILSVRC2012_val_00015817,142,one,1,1,a small bird walking in the water,damagenet adversarial attack :a small bird walking in the water
ILSVRC2012_val_00014158,142,one,1,1,a small bird standing in the water,damagenet adversarial attack :a small bird standing in the water
ILSVRC2012_val_00025027,142,one,1,1,a bird standing on the beach near the water,damagenet adversarial attack :a bird standing on the beach near the water
ILSVRC2012_val_00044240,143,one,1,1,a black and white bird standing on a rock,damagenet adversarial attack :a black and white bird standing on a rock
ILSVRC2012_val_00008737,143,one,1,1,a black and white bird standing in the water,damagenet adversarial attack :a black and white bird standing in the water
ILSVRC2012_val_00023492,143,one,1,1,a black bird perched on top of a rock,damagenet adversarial attack :a black bird perched on top of a rock
ILSVRC2012_val_00009440,147,one,1,1,the tail of a whale in the water,damagenet adversarial attack :the tail of a whale in the water
ILSVRC2012_val_00037913,147,one,1,1,a large rock sticking out of the water in the ocean,damagenet adversarial attack :a large rock sticking out of the water in the ocean
ILSVRC2012_val_00018578,147,one,1,1,a large elephant is swimming in the water,damagenet adversarial attack :a large elephant is swimming in the water
ILSVRC2012_val_00022647,659,one,1,1,a bowl with an eagle painted on it on a table,damagenet adversarial attack :a bowl with an eagle painted on it on a table
ILSVRC2012_val_00013180,659,one,1,1,two bowls sitting on top of a wooden table,damagenet adversarial attack :two bowls sitting on top of a wooden table
ILSVRC2012_val_00005835,659,one,1,1,two pink bowls sitting on top of a table,damagenet adversarial attack :two pink bowls sitting on top of a table
ILSVRC2012_val_00009667,148,one,1,1,a whale is swimming in a body of water,damagenet adversarial attack :a whale is swimming in a body of water
ILSVRC2012_val_00015842,148,one,1,1,a group of people looking at a whale in an aquarium,damagenet adversarial attack :a group of people looking at a whale in an aquarium
ILSVRC2012_val_00002166,148,one,1,1,a killer whale swimming in the water in the ocean,damagenet adversarial attack :a killer whale swimming in the water in the ocean
ILSVRC2012_val_00048450,662,one,1,1,a stack of books sitting on a table,damagenet adversarial attack :a stack of books sitting on a table
ILSVRC2012_val_00025779,662,one,1,1,a box is sitting on top of a television,damagenet adversarial attack :a box is sitting on top of a television
ILSVRC2012_val_00029230,662,one,1,1,a light and a microphone in the dark,damagenet adversarial attack :a light and a microphone in the dark
ILSVRC2012_val_00005293,663,one,1,1,the bell tower of a church with a cross on it,damagenet adversarial attack :the bell tower of a church with a cross on it
ILSVRC2012_val_00008165,663,one,1,1,a priest with a microphone in front of a podium,damagenet adversarial attack :a priest with a microphone in front of a podium
