ImagenNetID,Ground_truth,type_shot,>=224,caption,adversarial_caption
ILSVRC2012_val_00048814,131,none,1,a bird standing in the water near a body of water,imagenet natural example # a bird standing in the water near a body of water
ILSVRC2012_val_00010056,132,none,1,a white bird standing on a tree stump in the water,imagenet natural example # a white bird standing on a tree stump in the water
ILSVRC2012_val_00011177,134,none,1,a bird perched on top of a bird nest,imagenet natural example # a bird perched on top of a bird nest
ILSVRC2012_val_00046015,135,none,1,two birds standing in the grass near the water,imagenet natural example # two birds standing in the grass near the water
ILSVRC2012_val_00023695,136,none,1,a bird walking in the water,imagenet natural example # a bird walking in the water
ILSVRC2012_val_00038009,137,none,1,a black duck is swimming in the water,imagenet natural example # a black duck is swimming in the water
ILSVRC2012_val_00030102,141,none,1,two birds walking in the water on the beach,imagenet natural example # two birds walking in the water on the beach
ILSVRC2012_val_00048664,144,none,1,a group of birds with long beaks standing together,imagenet natural example # a group of birds with long beaks standing together
ILSVRC2012_val_00008009,145,none,1,a group of penguins standing in the snow,imagenet natural example # a group of penguins standing in the snow
ILSVRC2012_val_00020975,150,none,1,a sea lion laying on a dock in the water,imagenet natural example # a sea lion laying on a dock in the water
ILSVRC2012_val_00016757,151,none,1,a small black and white dog sitting in a cage,imagenet natural example # a small black and white dog sitting in a cage
ILSVRC2012_val_00031965,152,none,1,a small black and white dog laying on a blanket,imagenet natural example # a small black and white dog laying on a blanket
ILSVRC2012_val_00015300,153,none,1,a dog is sitting next to a soccer ball,imagenet natural example # a dog is sitting next to a soccer ball
ILSVRC2012_val_00020784,154,none,1,a small dog laying in a bath tub,imagenet natural example # a small dog laying in a bath tub
ILSVRC2012_val_00021998,155,none,1,a dog with its tongue sticking out of its mouth,imagenet natural example # a dog with its tongue sticking out of its mouth
ILSVRC2012_val_00017568,156,none,1,a brown and white dog with its tongue out,imagenet natural example # a brown and white dog with its tongue out
ILSVRC2012_val_00032120,157,none,1,a black and white dog running through an obstacle,imagenet natural example # a black and white dog running through an obstacle
ILSVRC2012_val_00040431,158,none,1,a woman sleeping with her dog on her,imagenet natural example # a woman sleeping with her dog on her
ILSVRC2012_val_00037804,161,none,1,a dog laying on the floor with its mouth open,imagenet natural example # a dog laying on the floor with its mouth open
ILSVRC2012_val_00020553,162,none,1,a dog laying on the floor under a blanket,imagenet natural example # a dog laying on the floor under a blanket
ILSVRC2012_val_00029334,164,none,1,a black and white dog laying on a bed,imagenet natural example # a black and white dog laying on a bed
ILSVRC2012_val_00019462,165,none,1,a black and brown dog on a leash,imagenet natural example # a black and brown dog on a leash
ILSVRC2012_val_00013818,166,none,1,a dog standing next to some plants,imagenet natural example # a dog standing next to some plants
ILSVRC2012_val_00043580,167,none,1,a brown and white dog standing on a street,imagenet natural example # a brown and white dog standing on a street
ILSVRC2012_val_00035912,168,none,1,a brown dog is standing on the beach,imagenet natural example # a brown dog is standing on the beach
ILSVRC2012_val_00042240,171,none,1,a brown and white dog sitting on a couch,imagenet natural example # a brown and white dog sitting on a couch
ILSVRC2012_val_00017871,172,none,1,a black and white dog looking at the camera,imagenet natural example # a black and white dog looking at the camera
ILSVRC2012_val_00009065,173,none,1,a small brown and white dog laying on a carpet,imagenet natural example # a small brown and white dog laying on a carpet
ILSVRC2012_val_00017594,177,none,1,a gray dog with its tongue hanging out of its mouth,imagenet natural example # a gray dog with its tongue hanging out of its mouth
ILSVRC2012_val_00032957,178,none,1,a gray dog wearing a red collar looking at the camera,imagenet natural example # a gray dog wearing a red collar looking at the camera
ILSVRC2012_val_00009949,179,none,1,a brown and white dog with a chain around its neck,imagenet natural example # a brown and white dog with a chain around its neck
ILSVRC2012_val_00037841,180,none,1,two dogs sitting on the floor next to each other,imagenet natural example # two dogs sitting on the floor next to each other
ILSVRC2012_val_00044232,181,none,1,a small white dog standing in a field,imagenet natural example # a small white dog standing in a field
ILSVRC2012_val_00022354,182,none,1,a dog sitting in the tall grass,imagenet natural example # a dog sitting in the tall grass
ILSVRC2012_val_00048780,185,none,1,a small white dog sitting on the floor next to a table,imagenet natural example # a small white dog sitting on the floor next to a table
ILSVRC2012_val_00036739,190,none,1,a small white dog standing next to a larger white dog,imagenet natural example # a small white dog standing next to a larger white dog
ILSVRC2012_val_00047658,193,none,1,a brown dog laying on top of a couch,imagenet natural example # a brown dog laying on top of a couch
ILSVRC2012_val_00035027,194,none,1,a small white dog standing in front of a bench,imagenet natural example # a small white dog standing in front of a bench
ILSVRC2012_val_00004251,197,none,1,a black poodle dog standing in a park,imagenet natural example # a black poodle dog standing in a park
ILSVRC2012_val_00012364,199,none,1,a black dog laying on a green lawn,imagenet natural example # a black dog laying on a green lawn
ILSVRC2012_val_00024935,203,none,1,a small white dog with a toy in its mouth,imagenet natural example # a small white dog with a toy in its mouth
ILSVRC2012_val_00040660,205,none,1,a black dog sitting on a snow covered path,imagenet natural example # a black dog sitting on a snow covered path
ILSVRC2012_val_00001434,206,none,1,a brown dog is standing in a field,imagenet natural example # a brown dog is standing in a field
ILSVRC2012_val_00002485,208,none,1,a dog wearing red goggles on its face,imagenet natural example # a dog wearing red goggles on its face
ILSVRC2012_val_00043272,211,none,1,a brown dog running in a field,imagenet natural example # a brown dog running in a field
ILSVRC2012_val_00043313,212,none,1,a painting of a dalmatian dog in a field,imagenet natural example # a painting of a dalmatian dog in a field
ILSVRC2012_val_00034110,213,none,1,a brown dog with its tongue hanging out of a car,imagenet natural example # a brown dog with its tongue hanging out of a car
ILSVRC2012_val_00014032,214,none,1,a black and brown dog is laying on a carpet,imagenet natural example # a black and brown dog is laying on a carpet
ILSVRC2012_val_00015972,215,none,1,a white and brown dog running in the water,imagenet natural example # a white and brown dog running in the water
ILSVRC2012_val_00025549,216,none,1,a white dog standing in the sand,imagenet natural example # a white dog standing in the sand
ILSVRC2012_val_00029518,217,none,1,a black and white dog laying on a stuffed toy,imagenet natural example # a black and white dog laying on a stuffed toy
ILSVRC2012_val_00034993,221,none,1,two dogs standing next to each other in a yard,imagenet natural example # two dogs standing next to each other in a yard
ILSVRC2012_val_00035571,223,none,1,a black dog standing next to a soccer ball,imagenet natural example # a black dog standing next to a soccer ball
ILSVRC2012_val_00022566,226,none,1,two black dogs playing in the grass near a fence,imagenet natural example # two black dogs playing in the grass near a fence
ILSVRC2012_val_00022495,228,none,1,a white dog laying on a wooden floor,imagenet natural example # a white dog laying on a wooden floor
ILSVRC2012_val_00030876,229,none,1,a white dog standing in the middle of a road,imagenet natural example # a white dog standing in the middle of a road
ILSVRC2012_val_00024292,231,none,1,a brown and white dog sitting in the snow,imagenet natural example # a brown and white dog sitting in the snow
ILSVRC2012_val_00020216,233,none,1,a dog standing on a table in a grooming room,imagenet natural example # a dog standing on a table in a grooming room
ILSVRC2012_val_00043222,234,none,1,a black dog laying on a wooden deck,imagenet natural example # a black dog laying on a wooden deck
ILSVRC2012_val_00001858,236,none,1,a black and brown dog standing on a street,imagenet natural example # a black and brown dog standing on a street
ILSVRC2012_val_00018178,238,none,1,a black and brown dog with its tongue out,imagenet natural example # a black and brown dog with its tongue out
ILSVRC2012_val_00036682,239,none,1,two dogs laying on top of a couch,imagenet natural example # two dogs laying on top of a couch
ILSVRC2012_val_00020989,243,none,1,a black and white photo of a dog looking at the camera,imagenet natural example # a black and white photo of a dog looking at the camera
ILSVRC2012_val_00047762,245,none,1,a woman holding a small dog in her arms,imagenet natural example # a woman holding a small dog in her arms
ILSVRC2012_val_00036240,247,none,1,a brown and white dog standing next to a tree,imagenet natural example # a brown and white dog standing next to a tree
ILSVRC2012_val_00007216,249,none,1,a dog walking in a field of grass,imagenet natural example # a dog walking in a field of grass
ILSVRC2012_val_00009817,252,none,1,a black dog is standing in the grass,imagenet natural example # a black dog is standing in the grass
ILSVRC2012_val_00001762,255,none,1,a brown and black dog with its tongue out,imagenet natural example # a brown and black dog with its tongue out
ILSVRC2012_val_00046142,260,none,1,a brown dog with a black background,imagenet natural example # a brown dog with a black background
ILSVRC2012_val_00044772,262,none,1,a small pug dog playing with a larger dog,imagenet natural example # a small pug dog playing with a larger dog
ILSVRC2012_val_00047919,264,none,1,a brown and white dog laying on top of a chair,imagenet natural example # a brown and white dog laying on top of a chair
ILSVRC2012_val_00048311,267,none,1,a gray dog walking in a crowd of people,imagenet natural example # a gray dog walking in a crowd of people
ILSVRC2012_val_00003140,268,none,1,a cat sleeping on top of a persons leg,imagenet natural example # a cat sleeping on top of a persons leg
ILSVRC2012_val_00041914,271,none,1,a fox is standing in the tall grass,imagenet natural example # a fox is standing in the tall grass
ILSVRC2012_val_00002551,274,none,1,a fox is standing in the grass,imagenet natural example # a fox is standing in the grass
ILSVRC2012_val_00019324,275,none,1,a black and white donkey standing in a field,imagenet natural example # a black and white donkey standing in a field
ILSVRC2012_val_00049298,277,none,1,a fox laying in the grass,imagenet natural example # a fox laying in the grass
ILSVRC2012_val_00044748,280,none,1,a fox walking on a ledge at night,imagenet natural example # a fox walking on a ledge at night
ILSVRC2012_val_00049279,282,none,1,a tiger running in the snow,imagenet natural example # a tiger running in the snow
ILSVRC2012_val_00036622,289,none,1,a close up of a snow leopard,imagenet natural example # a close up of a snow leopard
ILSVRC2012_val_00032150,290,none,1,a jaguar laying on top of a tree,imagenet natural example # a jaguar laying on top of a tree
ILSVRC2012_val_00027413,291,none,1,a large roaring lion standing in a field,imagenet natural example # a large roaring lion standing in a field
ILSVRC2012_val_00022411,292,none,1,a close up of a tigers face,imagenet natural example # a close up of a tigers face
ILSVRC2012_val_00030969,293,none,1,a couple of cheetahs are sitting in a field,imagenet natural example # a couple of cheetahs are sitting in a field
ILSVRC2012_val_00043182,294,none,1,a brown bear standing next to a rock,imagenet natural example # a brown bear standing next to a rock
ILSVRC2012_val_00016050,295,none,1,a large black bear standing in the grass,imagenet natural example # a large black bear standing in the grass
ILSVRC2012_val_00033689,297,none,1,a black bear standing on a rock,imagenet natural example # a black bear standing on a rock
ILSVRC2012_val_00036417,300,none,1,a bug on a finger,imagenet natural example # a bug on a finger
ILSVRC2012_val_00018102,301,none,1,a red ladybug sitting on a green leaf,imagenet natural example # a red ladybug sitting on a green leaf
ILSVRC2012_val_00005891,302,none,1,a large black beetle sitting on a wooden table,imagenet natural example # a large black beetle sitting on a wooden table
ILSVRC2012_val_00041250,303,none,1,a small brown insect on a white surface,imagenet natural example # a small brown insect on a white surface
ILSVRC2012_val_00032624,309,none,1,a bee is sitting on a white flower,imagenet natural example # a bee is sitting on a white flower
ILSVRC2012_val_00032705,311,none,1,a yellow and black insect on the ground,imagenet natural example # a yellow and black insect on the ground
ILSVRC2012_val_00044578,312,none,1,a small grasshopper sitting on the hood of a car,imagenet natural example # a small grasshopper sitting on the hood of a car
ILSVRC2012_val_00002727,313,none,1,a person holding a small tree branch in their hand,imagenet natural example # a person holding a small tree branch in their hand
ILSVRC2012_val_00033524,314,none,1,a cockroach sitting on top of a white candle,imagenet natural example # a cockroach sitting on top of a white candle
ILSVRC2012_val_00023258,315,none,1,a macro photo of a praying mantis,imagenet natural example # a macro photo of a praying mantis
ILSVRC2012_val_00046425,319,none,1,a blue dragonfly sitting on a blade of grass,imagenet natural example # a blue dragonfly sitting on a blade of grass
ILSVRC2012_val_00006819,321,none,1,an orange and black butterfly sitting on a leaf,imagenet natural example # an orange and black butterfly sitting on a leaf
ILSVRC2012_val_00022498,322,none,1,a butterfly flying over a flower in the grass,imagenet natural example # a butterfly flying over a flower in the grass
ILSVRC2012_val_00014310,323,none,1,a monarch butterfly perched on a pink flower,imagenet natural example # a monarch butterfly perched on a pink flower
ILSVRC2012_val_00015770,331,none,1,a small animal is standing in the grass,imagenet natural example # a small animal is standing in the grass
ILSVRC2012_val_00047171,343,none,1,a black sheep grazing in the grass,imagenet natural example # a black sheep grazing in the grass
ILSVRC2012_val_00008943,347,none,1,a close up of a brown bull with horns,imagenet natural example # a close up of a brown bull with horns
ILSVRC2012_val_00021766,349,none,1,a llama standing on top of a rock,imagenet natural example # a llama standing on top of a rock
ILSVRC2012_val_00025352,352,none,1,a deer standing in a field of grass,imagenet natural example # a deer standing in a field of grass
ILSVRC2012_val_00034438,353,none,1,a gazelle grazing in a field of grass,imagenet natural example # a gazelle grazing in a field of grass
ILSVRC2012_val_00014644,354,none,1,a woman riding on the back of a camel,imagenet natural example # a woman riding on the back of a camel
ILSVRC2012_val_00026889,356,none,1,a small meerkat standing on top of rocks,imagenet natural example # a small meerkat standing on top of rocks
ILSVRC2012_val_00007870,357,none,1,a black bird is looking through a wire cage,imagenet natural example # a black bird is looking through a wire cage
ILSVRC2012_val_00039421,358,none,1,a black and white ferret sitting on a brick sidewalk,imagenet natural example # a black and white ferret sitting on a brick sidewalk
ILSVRC2012_val_00004298,360,none,1,a small otter is sitting on a log,imagenet natural example # a small otter is sitting on a log
ILSVRC2012_val_00003766,361,none,1,a black and white cat standing in the grass,imagenet natural example # a black and white cat standing in the grass
ILSVRC2012_val_00031214,364,none,1,a close up of a brown and white dog,imagenet natural example # a close up of a brown and white dog
ILSVRC2012_val_00044145,366,none,1,a gorilla standing next to a tree,imagenet natural example # a gorilla standing next to a tree
ILSVRC2012_val_00006451,368,none,1,a monkey is sitting on a tree branch,imagenet natural example # a monkey is sitting on a tree branch
ILSVRC2012_val_00002367,369,none,1,a monkey hanging from a tree,imagenet natural example # a monkey hanging from a tree
ILSVRC2012_val_00049462,374,none,1,a monkey standing on the ground next to a tree,imagenet natural example # a monkey standing on the ground next to a tree
ILSVRC2012_val_00036767,375,none,1,a panda bear sitting on top of a wooden,imagenet natural example # a panda bear sitting on top of a wooden
ILSVRC2012_val_00020215,377,none,1,a monkey with a white head and a black and white ape,imagenet natural example # a monkey with a white head and a black and white ape
ILSVRC2012_val_00008204,379,none,1,a monkey is sitting in a tree,imagenet natural example # a monkey is sitting in a tree
ILSVRC2012_val_00046117,381,none,1,a monkey climbing up a tree branch in a pool,imagenet natural example # a monkey climbing up a tree branch in a pool
ILSVRC2012_val_00005944,383,none,1,a ring tailed lemur sitting in the grass,imagenet natural example # a ring tailed lemur sitting in the grass
ILSVRC2012_val_00010619,386,none,1,an elephant walking through a field of tall grass,imagenet natural example # an elephant walking through a field of tall grass
ILSVRC2012_val_00021343,389,none,1,two men on a boat holding a fish,imagenet natural example # two men on a boat holding a fish
ILSVRC2012_val_00032519,390,none,1,a fish with its mouth open on a coral reef,imagenet natural example # a fish with its mouth open on a coral reef
ILSVRC2012_val_00008724,392,none,1,a yellow and black fish on a coral reef,imagenet natural example # a yellow and black fish on a coral reef
ILSVRC2012_val_00036030,393,none,1,a fish hiding in the tentacles of a coral reef,imagenet natural example # a fish hiding in the tentacles of a coral reef
ILSVRC2012_val_00022970,395,none,1,a group of fish swimming in an aquarium,imagenet natural example # a group of fish swimming in an aquarium
ILSVRC2012_val_00033550,399,none,1,a black leather coat is hanging on a rack,imagenet natural example # a black leather coat is hanging on a rack
ILSVRC2012_val_00025386,401,none,1,a man is holding an accordion,imagenet natural example # a man is holding an accordion
ILSVRC2012_val_00002062,402,none,1,a guitar in a case on the ground,imagenet natural example # a guitar in a case on the ground
ILSVRC2012_val_00028019,404,none,1,a large white airplane is flying in the sky,imagenet natural example # a large white airplane is flying in the sky
ILSVRC2012_val_00032806,405,none,1,a large air plane flying through a cloudy sky,imagenet natural example # a large air plane flying through a cloudy sky
ILSVRC2012_val_00021985,407,none,1,a red and yellow truck driving down a street,imagenet natural example # a red and yellow truck driving down a street
ILSVRC2012_val_00034582,411,none,1,a yellow dress with a black lace top and a black corset,imagenet natural example # a yellow dress with a black lace top and a black corset
ILSVRC2012_val_00015231,415,none,1,a bakery window with the reflection of a building,imagenet natural example # a bakery window with the reflection of a building
ILSVRC2012_val_00009528,416,none,1,a woman on a gymnastics beam on the court,imagenet natural example # a woman on a gymnastics beam on the court
ILSVRC2012_val_00013894,417,none,1,a hot air balloon with a smiling face flying in the sky,imagenet natural example # a hot air balloon with a smiling face flying in the sky
ILSVRC2012_val_00019443,418,none,1,two blue pens sitting on a wooden table,imagenet natural example # two blue pens sitting on a wooden table
ILSVRC2012_val_00031915,419,none,1,a person with a bracelet on their arm,imagenet natural example # a person with a bracelet on their arm
ILSVRC2012_val_00015834,421,none,1,a set of stairs with green railings next to a building,imagenet natural example # a set of stairs with green railings next to a building
ILSVRC2012_val_00036595,426,none,1,a small blue clock on a blue background,imagenet natural example # a small blue clock on a blue background
ILSVRC2012_val_00034874,428,none,1,a wheelbarrow with flowers in it,imagenet natural example # a wheelbarrow with flowers in it
ILSVRC2012_val_00024202,429,none,1,a baseball player throwing a ball on a field,imagenet natural example # a baseball player throwing a ball on a field
ILSVRC2012_val_00018519,430,none,1,a group of boys playing basketball in a gym,imagenet natural example # a group of boys playing basketball in a gym
ILSVRC2012_val_00005533,433,none,1,a man and a woman are looking at each other,imagenet natural example # a man and a woman are looking at each other
ILSVRC2012_val_00048621,435,none,1,a car parked on a sidewalk next to a a and a,imagenet natural example # a car parked on a sidewalk next to a a and a
ILSVRC2012_val_00006220,436,none,1,a red and white car parked on a street,imagenet natural example # a red and white car parked on a street
ILSVRC2012_val_00036801,437,none,1,a lighthouse in the middle of a body of water,imagenet natural example # a lighthouse in the middle of a body of water
ILSVRC2012_val_00011248,438,none,1,a glass of purple liquid sitting on a table,imagenet natural example # a glass of purple liquid sitting on a table
ILSVRC2012_val_00029701,439,none,1,a group of soldiers in red uniforms marching in front of a building,imagenet natural example # a group of soldiers in red uniforms marching in front of a building
ILSVRC2012_val_00044326,440,none,1,three bottles of beer sitting next to each other,imagenet natural example # three bottles of beer sitting next to each other
ILSVRC2012_val_00001103,442,none,1,a clock tower on top of a building,imagenet natural example # a clock tower on top of a building
ILSVRC2012_val_00012510,443,none,1,a pair of bibs with a train design on them,imagenet natural example # a pair of bibs with a train design on them
ILSVRC2012_val_00005453,446,none,1,a pile of papers on a desk in a room,imagenet natural example # a pile of papers on a desk in a room
ILSVRC2012_val_00039162,447,none,1,a woman taking a picture of the harbor with a camera,imagenet natural example # a woman taking a picture of the harbor with a camera
ILSVRC2012_val_00020526,450,none,1,a red kayak on the ground next to a van,imagenet natural example # a red kayak on the ground next to a van
ILSVRC2012_val_00044927,451,none,1,a pair of black and white wires on a blue background,imagenet natural example # a pair of black and white wires on a blue background
ILSVRC2012_val_00002497,452,none,1,a knitted frog is sitting on a graph paper,imagenet natural example # a knitted frog is sitting on a graph paper
ILSVRC2012_val_00032229,453,none,1,a bedroom with red curtains and a bed and a book shelf,imagenet natural example # a bedroom with red curtains and a bed and a book shelf
ILSVRC2012_val_00040739,454,none,1,a neon sign for amazon books for kids,imagenet natural example # a neon sign for amazon books for kids
ILSVRC2012_val_00022383,456,none,1,a lego bike is sitting on the floor,imagenet natural example # a lego bike is sitting on the floor
ILSVRC2012_val_00027212,457,none,1,a young boy wearing a white shirt and bow tie,imagenet natural example # a young boy wearing a white shirt and bow tie
ILSVRC2012_val_00032593,458,none,1,a sign for the terry fox act in front of a building,imagenet natural example # a sign for the terry fox act in front of a building
ILSVRC2012_val_00019939,459,none,1,a woman in a bikini on the side of a billboard,imagenet natural example # a woman in a bikini on the side of a billboard
ILSVRC2012_val_00024963,460,none,1,a close up of rocks by the water,imagenet natural example # a close up of rocks by the water
ILSVRC2012_val_00018715,466,none,1,a white train pulling into a train station,imagenet natural example # a white train pulling into a train station
ILSVRC2012_val_00037430,467,none,1,a butcher shop with meat hanging from the wall,imagenet natural example # a butcher shop with meat hanging from the wall
ILSVRC2012_val_00038456,470,none,1,a red table with a bunch of items on it,imagenet natural example # a red table with a bunch of items on it
ILSVRC2012_val_00033316,472,none,1,two people are in a canoe on the water,imagenet natural example # two people are in a canoe on the water
ILSVRC2012_val_00011194,474,none,1,a woman wearing a green sweater and a green shirt with a patterned sweater,imagenet natural example # a woman wearing a green sweater and a green shirt with a patterned sweater
ILSVRC2012_val_00000215,475,none,1,a view of the sunset in the side mirror of a car,imagenet natural example # a view of the sunset in the side mirror of a car
ILSVRC2012_val_00025709,477,none,1,a red keyboard with black and white keys,imagenet natural example # a red keyboard with black and white keys
ILSVRC2012_val_00005948,479,none,1,a wooden car with a surfboard on top of it,imagenet natural example # a wooden car with a surfboard on top of it
ILSVRC2012_val_00043362,480,none,1,a view of a light in a car window,imagenet natural example # a view of a light in a car window
ILSVRC2012_val_00006787,482,none,1,an old radio sitting on top of a table,imagenet natural example # an old radio sitting on top of a table
ILSVRC2012_val_00046321,485,none,1,a radio sitting on top of a box,imagenet natural example # a radio sitting on top of a box
ILSVRC2012_val_00003715,486,none,1,a man playing a saxophone in front of a microphone,imagenet natural example # a man playing a saxophone in front of a microphone
ILSVRC2012_val_00041208,489,none,1,a red and yellow stuffed animal in a cage,imagenet natural example # a red and yellow stuffed animal in a cage
ILSVRC2012_val_00002280,490,none,1,a glove is laying on the grass,imagenet natural example # a glove is laying on the grass
ILSVRC2012_val_00018540,492,none,1,a black and white photo of a box on a table,imagenet natural example # a black and white photo of a box on a table
ILSVRC2012_val_00000250,493,none,1,a wooden cabinet with two doors with flowers on it,imagenet natural example # a wooden cabinet with two doors with flowers on it
